N	trait_mean	trait_var	age_MY	tsID	age_MY_min	age_MY_max
44	0.95774	0.004560976	5.0432	341	NA	NA
30	8.2	0.509796	0	467	NA	NA
30	7.77	0.529984	0.005317	467	NA	NA
26	7.77	0.264196	0.00995	467	NA	NA
37	7.89	0.654481	0.015182	467	NA	NA
41	7.44	0.552049	0.019318	467	NA	NA
34	7.85	0.431649	0.025551	467	NA	NA
74	7.65	0.395641	0.030541	467	NA	NA
55	7.69	0.328329	0.03403	467	NA	NA
15	8	0.571536	0.036631	467	NA	NA
23	8.09	0.446224	0.038052	467	NA	NA
50	7.7	0.418609	0.041008	467	NA	NA
48	8	0.339889	0.050629	467	NA	NA
28	7.86	0.275625	0.055246	467	NA	NA
34	7.94	0.239121	0.060289	467	NA	NA
39	7.85	0.2916	0.065312	467	NA	NA
23	8	0.363609	0.070119	467	NA	NA
26	7.96	0.278784	0.075075	467	NA	NA
56	8.02	0.417316	0.08115	467	NA	NA
29	8.07	0.351649	0.086454	467	NA	NA
75	8.23	0.556516	0.092006	467	NA	NA
76	8.67	0.410881	0.093445	467	NA	NA
83	8.45	0.5184	0.096659	467	NA	NA
1	8.7	0	0.099377	467	NA	NA
51	8.37	0.5184	0.101306	467	NA	NA
39	8.56	0.568516	0.106969	467	NA	NA
56	8.41	0.427716	0.107667	467	NA	NA
30	8.83	0.558009	0	466	NA	NA
33	8.76	0.439569	0.005317	466	NA	NA
30	8.87	0.463761	0.00995	466	NA	NA
36	9.06	0.511225	0.015182	466	NA	NA
55	8.58	0.580644	0.019318	466	NA	NA
40	8.75	0.808201	0.025551	466	NA	NA
75	8.56	0.600625	0.030541	466	NA	NA
52	8.77	0.494209	0.03403	466	NA	NA
22	9.18	0.251001	0.036631	466	NA	NA
28	9.18	0.595984	0.038052	466	NA	NA
54	8.94	0.393129	0.041008	466	NA	NA
45	9.2	0.345744	0.050629	466	NA	NA
35	9.14	0.419904	0.055246	466	NA	NA
37	9.05	0.440896	0.060289	466	NA	NA
41	9.1	0.290521	0.065312	466	NA	NA
25	9.2	0.499849	0.070119	466	NA	NA
30	9.13	0.5329	0.075075	466	NA	NA
58	9.31	0.568516	0.08115	466	NA	NA
32	9.75	0.515524	0.086454	466	NA	NA
84	9.63	0.644809	0.092006	466	NA	NA
82	10.02	0.715716	0.093445	466	NA	NA
89	9.8	0.685584	0.096659	466	NA	NA
95	9.62	0.535824	0.099377	466	NA	NA
57	9.67	0.511225	0.101306	466	NA	NA
45	9.8	0.481636	0.106969	466	NA	NA
64	9.84	0.515524	0.107667	466	NA	NA
49	5.18	0.403225	0	465	NA	NA
42	4.81	0.889249	0.005317	465	NA	NA
37	4.43	1.308736	0.00995	465	NA	NA
54	4.72	0.393129	0.015182	465	NA	NA
63	4.19	0.996004	0.019318	465	NA	NA
56	4.18	0.731025	0.025551	465	NA	NA
88	4.14	1.016064	0.030541	465	NA	NA
63	4.71	0.627264	0.03403	465	NA	NA
31	4.65	0.769129	0.036631	465	NA	NA
49	4.92	0.702244	0.038052	465	NA	NA
65	4.71	0.804609	0.041008	465	NA	NA
69	4.42	0.6889	0.050629	465	NA	NA
41	4.56	0.552049	0.055246	465	NA	NA
49	4.59	0.996004	0.060289	465	NA	NA
65	4.82	0.746496	0.065312	465	NA	NA
37	4.89	0.266256	0.070119	465	NA	NA
42	4.98	0.267289	0.075075	465	NA	NA
62	4.73	0.465124	0.08115	465	NA	NA
52	4.96	0.234256	0.086454	465	NA	NA
101	5.35	0.388129	0.092006	465	NA	NA
79	5.56	0.327184	0.093445	465	NA	NA
97	5.27	0.261121	0.096659	465	NA	NA
109	5.24	0.257049	0.099377	465	NA	NA
82	5.13	0.216225	0.101306	465	NA	NA
43	5.16	0.329476	0.106969	465	NA	NA
72	5	0.337561	0.107667	465	NA	NA
49	45.11	152.053561	0	464	NA	NA
42	42.39	65.9344	0.005317	464	NA	NA
35	40.08	46.635241	0.00995	464	NA	NA
48	47.72	98.069409	0.015182	464	NA	NA
54	38.64	127.170729	0.019318	464	NA	NA
41	42.69	63.632529	0.025551	464	NA	NA
78	42.21	96.196864	0.030541	464	NA	NA
48	47.18	104.673361	0.03403	464	NA	NA
19	44.83	245.517561	0.036631	464	NA	NA
27	52.2	270.240721	0.038052	464	NA	NA
52	48.8	152.250921	0.041008	464	NA	NA
46	50.71	156.475081	0.050629	464	NA	NA
31	48.04	132.296004	0.055246	464	NA	NA
29	50.99	140.351409	0.060289	464	NA	NA
41	48.12	140.801956	0.065312	464	NA	NA
26	52.28	89.094721	0.070119	464	NA	NA
27	45.51	103.693489	0.075075	464	NA	NA
47	45.78	206.640625	0.08115	464	NA	NA
36	45.11	69.0561	0.086454	464	NA	NA
68	51.51	151.585344	0.092006	464	NA	NA
62	50.45	212.110096	0.093445	464	NA	NA
67	48.6	134.861769	0.096659	464	NA	NA
74	54.14	125.821089	0.099377	464	NA	NA
58	45.42	133.726096	0.101306	464	NA	NA
30	53.23	280.830564	0.106969	464	NA	NA
48	47.49	131.951169	0.107667	464	NA	NA
61	0.79	0.203401	0	463	NA	NA
60	0.63	0.236196	0.005317	463	NA	NA
50	0.06	0.0576	0.00995	463	NA	NA
75	0.65	0.877969	0.015182	463	NA	NA
85	0.06	0.127449	0.019318	463	NA	NA
72	0.14	0.206116	0.025551	463	NA	NA
107	0.07	0.118336	0.030541	463	NA	NA
74	0.3	0.2116	0.03403	463	NA	NA
37	0.46	0.255025	0.036631	463	NA	NA
53	1.17	0.3364	0.038052	463	NA	NA
70	0.81	0.269361	0.041008	463	NA	NA
80	0.77	0.201601	0.050629	463	NA	NA
51	0.45	0.253009	0.055246	463	NA	NA
57	0.88	0.109561	0.060289	463	NA	NA
76	0.92	0.073441	0.065312	463	NA	NA
45	1.09	0.082944	0.070119	463	NA	NA
51	1.12	0.185761	0.075075	463	NA	NA
73	0.95	0.080089	0.08115	463	NA	NA
60	1.12	0.443556	0.086454	463	NA	NA
107	1.24	0.261121	0.092006	463	NA	NA
97	2.79	0.249001	0.093445	463	NA	NA
108	1.31	0.404496	0.096659	463	NA	NA
116	1.22	0.3969	0.099377	463	NA	NA
83	1.4	0.511225	0.101306	463	NA	NA
52	1.15	0.172225	0.106969	463	NA	NA
85	1.01	0.131044	0.107667	463	NA	NA
200	1.2515	0.029947487	0	428	NA	NA
200	1.255	0.032437186	0.0700000000000001	428	NA	NA
200	1.2285	0.029887186	0.14	428	NA	NA
200	1.1965	0.025867085	0.21	428	NA	NA
200	1.2505	0.043416834	0.28	428	NA	NA
200	1.1725	0.061903266	0.43	428	NA	NA
200	1.162	0.043171859	0.42	428	NA	NA
270	1.191111111	0.05248575	0.46	428	NA	NA
